name,sport,specialty,city,county,facility_name,address,phone,website,instagram,facebook,credentials,age_groups,skill_level,price_per_session,price_notes,tier,source,notes
David Sopilka,baseball,catching,Chamblee,DeKalb,El Dojo,,,,,,Elite catching coach; described as "worth the drive" from Valdosta,All Ages,intermediate|advanced,,1.5 hour sessions,elite,facebook,"Multiple strong endorsements; parents drive from near Valdosta"
Aiden Berggren,baseball,catching,Canton,Cherokee,,,,,,,10+ years coaching; 4 years college baseball,All Ages,beginner|intermediate,,Fundamentals and blocking focus,strong,facebook,"Great for accountability and putting in the work"
Braden Hartman,baseball,catching,Buford,Gwinnett,Be Sports Training Buford,,,,,,,,All Ages,beginner|intermediate,,,strong,facebook,"Ask for Brian the owner"
Matt Castleberry,baseball,hitting,Alpharetta,Fulton,GrandSlam,,,,,,Former baseball background,All Ages,beginner|intermediate,,,local,facebook,"GrandSlam in Alpharetta on Westside Pkwy"
Matt Pritchett,baseball,hitting|pitching,,,,,,,,,,Multiple strong endorsements,All Ages,intermediate|advanced,,,elite,facebook,"Described as 'by far the best' by multiple parents"
Grit Academy Athletics,baseball,hitting|pitching|fielding,Alpharetta,Fulton|Forsyth,Grit Academy Athletics,,,,,,Full facility; multiple coaches,All Ages,beginner|intermediate|advanced,,,strong,facebook,"Located between exit 12 and 13 (Alpharetta/Cumming area)"
Jagger Iovinelli,baseball,pitching,Woodstock,Cherokee,Grit Academy Athletics,,,,,,"College/pro background",All Ages,intermediate|advanced,,,strong,facebook,"Frequently endorsed across multiple threads"
Cristoforo Romano,baseball,pitching,Marietta,Cobb,Harrison Park,,,,,,Former Detroit Tigers MiLB coach; Former Milwaukee Brewers MiLB coach; Masters in Exercise Science/Biomechanics,10U+,advanced|elite,70,"$70 cash / $80 Venmo first session (75 min); $60/$70 weekly includes 6-day remote program",elite,facebook,"Biomechanics + arm health; rehab/RTP specialist; 29 pitchers in program"
Chris Bootcheck,baseball,pitching,Woodstock,Cherokee,Auterson Baseball (The Hive),,,,,,"Former MLB pitcher",12U+,advanced|elite,,,elite,facebook,"Highly trusted; multiple endorsements"
Danny Borrell,baseball,pitching,Woodstock,Cherokee,Auterson Baseball (The Hive),,,,,,"Professional pitching pedigree",12U+,advanced|elite,,,elite,facebook,"Specialized high-level development"
Ryan Kennedy,baseball,pitching,Kennesaw,Cobb,D-BAT Kennesaw,,,,,,"Long-term development focus",10U+,intermediate|advanced|elite,,,elite,facebook,"Hard to book; very high demand"
Marvin Freeman,baseball,pitching,,,,,,,,,Former MLB pitcher,12U+,advanced|elite,,,elite,facebook,"High credibility; single mention"
